ENTIDAD,MC,PRIAN,MORENA
AGS,8.9398,46.1466,42.3876
BC,10.1220,22.1708,65.3375
BCS,8.9288,30.0100,58.7398
CAMP,21.0729,15.8356,60.7920
COAH,5.5059,39.0385,53.2821
COL,13.4213,30.3231,53.9529
CHIS,7.5736,16.6824,71.2269
CHIH,9.6148,35.3702,52.6231
CDMX,8.4141,34.9837,55.3621
DGO,7.4036,32.6319,57.8516
GRO,6.5622,19.0171,71.4965
GTO,10.6216,40.4588,40.8781
HGO,10.4606,19.9764,67.1994
JAL, 17.4656,36.1898,44.2212
MEX,10.7504,26.7603,60.3477
MICH,12.2063,29.7093,54.9144
NAY,13.9692,20.8264,62.4798
NL,18.1643,35.4646,44.5075
OAX,6.6363,14.5677,76.3395
PUE,10.1570,21.9384,65.1476
QRO,9.5780,37.3681,50.7224
QROO,7.7731,17.5008,72.3717
SLP,10.7906,25.7511,60.2775
SIN,7.9445,24.9955,64.7821
SON,9.2792,25.3999,63.0186
TAB,6.0939,11.3299,80.1222
TAMPS,9.459,26.5303,61.9477
TLAX,14.0260,14.9523,68.7746
VER,8.0981,23.3197,66.1780
YUC,6.9620,31.2906,59.7206
ZAC,16.9323,30.2226,50.1089
